01/30/2025,AMDY,2AMD  250221P00145010,S,-13925.0,28.090603,-39116164.68,-23.68%,165147500.0,17500000,700.0,
01/30/2025,AMDY,AMD   250131C00118000,S,-7325.0,2.135,-1563887.5,-0.95%,165147500.0,17500000,700.0,
01/30/2025,AMDY,AMD   250131C00119000,S,-6600.0,1.68,-1108800.0,-0.67%,165147500.0,17500000,700.0,
01/30/2025,AMDY,AMD   250131C00121000,B,7125.0,1.03,733875.0,0.44%,165147500.0,17500000,700.0,
01/30/2025,AMDY,AMD   250131C00122000,B,6600.0,0.79,521400.0,0.32%,165147500.0,17500000,700.0,
01/30/2025,AMDY,AMD   250131C00123000,B,200.0,0.62,12400.0,0.01%,165147500.0,17500000,700.0,
01/30/2025,AMDY,AMD   250221C00145000,B,13925.0,0.86,1197550.0,0.73%,165147500.0,17500000,700.0,
1/31/2025,AMDY,AMD 250221C00145000,B,210,0.63
1/31/2025,AMDY,2AMD 250221P00145010,SS,210,27.89
1/31/2025,AMDY,AMD 250207C00125000,SS,210,2.42
1/31/2025,AMDY,AMD 250207C00135000,B,210,0.76
1/31/2025,AMDY,AMD 250131C00123000,S,200,0.01
1/31/2025,AMDY,AMD 250131C00118000,BC,200,0.47
1/31/2025,AMDY,AMD 250207C00125000,SS,200,2.56
1/31/2025,AMDY,AMD 250207C00135000,B,200,0.8
1/31/2025,AMDY,AMD 250131C00122000,S,6600,0.01
1/31/2025,AMDY,AMD 250131C00119000,BC,6600,0.19
1/31/2025,AMDY,AMD 250207C00134000,B,6600,0.91
1/31/2025,AMDY,AMD 250207C00124000,SS,6600,2.85
1/31/2025,AMDY,AMD 250131C00121000,S,7125,0.01
1/31/2025,AMDY,AMD 250131C00118000,BC,7125,0.38
1/31/2025,AMDY,AMD 250207C00125000,SS,7125,2.52
1/31/2025,AMDY,AMD 250207C00135000,B,7125,0.78
